record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_020.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_020.cmdi
,GEWISS_R_SV_PL_020.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_021.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_021.cmdi
,GEWISS_R_SV_PL_021.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_022.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_022.cmdi
,GEWISS_R_SV_PL_022.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_023.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_023.cmdi
,GEWISS_R_SV_PL_023.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_024.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_024.cmdi
,GEWISS_R_SV_PL_024.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_025.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_025.cmdi
,GEWISS_R_SV_PL_025.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_014.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_014.cmdi
,GEWISS_R_SV_UK_014.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_015.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_015.cmdi
,GEWISS_R_SV_UK_015.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_016.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_016.cmdi
,GEWISS_R_SV_UK_016.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_017.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_017.cmdi
,GEWISS_R_SV_UK_017.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_018.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_018.cmdi
,GEWISS_R_SV_UK_018.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_019.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_019.cmdi
,GEWISS_R_SV_UK_019.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_020.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_020.cmdi
,GEWISS_R_SV_UK_020.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_UK_021.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_021.cmdi
,GEWISS_R_SV_UK_021.cmdi,,,,,,,,,,,,,,,,
