datestamp,relation,type,type - dcmi recommendation,title,creator,language,identifier,format,format - mediatype,format - subtype,date,description,source,publisher,rights,contributor,subject,record id,record - header - setSpec
,urn:cts:muqtabas:oclc.4770057679_i.91.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.92.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.93.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.94.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.95.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.96.TEIP5:,,,,,,,,,,,,,,,,,,
2024-04-17T18:34:10Z,http://cts.informatik.uni-leipzig.de/,document,text,مجلة المقتبس Majallat al-Muqtabas TEI edition,,arb,urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_10.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/10/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
