datestamp,relation,type,type - dcmi recommendation,title,creator,language,identifier,format,format - mediatype,format - subtype,date,description,source,publisher,rights,contributor,subject,record id,record - header - setSpec
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.39.TEIP5:10&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:27:13Z,http://cts.informatik.uni-leipzig.de/,document,text,مجلة المقتبس Majallat al-Muqtabas TEI edition,,arb,urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_3.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/3/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:9&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:10&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:11&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:12&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:13&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:14&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:15&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:16&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:17&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:18&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:25:47Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 4 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_40.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/40/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:9&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:10&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:11&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:12&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:38:15Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 5 / 6 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_41.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/41/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:32:20Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 7 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_42.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/42/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:30:54Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 8 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_43.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/43/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.43.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:30:29Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 9 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_44.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/44/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.44.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:24:09Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 10 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_45.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/45/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.45.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:34:35Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 11 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_46.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/46/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.46.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
2024-04-17T18:34:22Z,http://cts.informatik.uni-leipzig.de/,document,text,"مجلة المقتبس Majallat al-Muqtabas, Vol. 4, no. 12 TEI edition",,arb,urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:,application/xml,application,xml,2015-01-01T00:00:00Z,,https://github.com/tillgrallert/digital-muqtabas/blob/master/xml/oclc_4770057679-i_47.TEIP5.xml retrieved via Canonical Text Service http://cts.informatik.uni-leipzig.de/muqtabas/cts/,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:,cts
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/teidumps/muqtabas/oclc/4770057679_i/47/TEIP5.xml,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:1&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:2&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:3&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:4&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:5&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:6&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:7&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:8&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:9&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
,http://cts.informatik.uni-leipzig.de/muqtabas/cts/?request=GetPassage&urn=urn:cts:muqtabas:oclc.4770057679_i.47.TEIP5:10&configuration=divs=false_escapepassage=false_deletexml=true,,,,,,,,,,,,,,,,,,
